date,county,quantile,hosp_census_with_covid,cases,icu,death,cum_death,prev_cum_est_deaths,total_cum_death
2021-12-19,California,0.5,3573.5,61689.5,873,362,362,76700,77062
2021-12-19,California,0.05,3373,39905.55,808,295,295,76700,76995
2021-12-19,California,0.95,3783.0499999999993,101150.5,937,442,442,76700,77142
2021-12-26,California,0.5,4602,104458,903,360,725,76700,77425
2021-12-26,California,0.05,4359,66264.4,838,291,622,76700,77322
2021-12-26,California,0.95,4867.049999999999,176792.19999999992,971,446,841,76700,77541
2022-01-02,California,0.5,7298,201010.5,1203,467,1196,76700,77896
2022-01-02,California,0.05,6938,125303.45,1122,378,1049,76700,77749
2022-01-02,California,0.95,7676,363366.89999999985,1286,577,1356,76700,78056
2022-01-09,California,0.5,11600,329975,1791,737,1936,76700,78636
2022-01-09,California,0.05,11025.95,205395.19999999998,1679.9499999999998,596,1719,76700,78419
2022-01-09,California,0.95,12205,591351.4999999999,1907,907,2180,76700,78880
2022-01-16,California,0.5,15330,385707,2440,1114,3057,76700,79757
2022-01-16,California,0.05,14559.949999999999,243833.35,2291,905,2739,76700,79439
2022-01-16,California,0.95,16121,673985.2499999999,2591,1370,3413.0499999999993,76700,80113.05
2022-01-23,California,0.5,16219,339900,2760,1395,4459,76700,81159
2022-01-23,California,0.05,15462.95,222324.44999999998,2598,1133.9499999999998,4015,76700,80715
2022-01-23,California,0.95,17027.05,573084.0499999999,2933,1702,4924,76700,81624
2022-01-30,California,0.5,14415,252687,2645,1423,5890,76700,82590
2022-01-30,California,0.05,13755.95,167963.00000000003,2489.95,1168.9499999999998,5358,76700,82058
2022-01-30,California,0.95,15119,405956.79999999993,2809,1727,6458,76700,83158
2022-02-06,California,0.5,11403,173593.5,2236,1238,7145.5,76700,83845.5
2022-02-06,California,0.05,10888.949999999999,117965.25,2103,1026,6538.95,76700,83238.95
2022-02-06,California,0.95,11950,276102.74999999994,2370,1503,7770.049999999999,76700,84470.05
2022-02-13,California,0.5,8442,116472.5,1745,980,8129,76700,84829
2022-02-13,California,0.05,8049,79339.59999999999,1635,812,7476.950000000001,76700,84176.95
2022-02-13,California,0.95,8852,182191.3,1857,1181,8810,76700,85510
2022-02-20,California,0.5,6054,81208,1295,728,8864,76700,85564
2022-02-20,California,0.05,5759,54809.600000000006,1212,603,8176,76700,84876
2022-02-20,California,0.95,6357.049999999999,126978.14999999994,1384,868,9557.05,76700,86257.05
2022-02-27,California,0.5,4317,58298,940,525,9390,76700,86090
2022-02-27,California,0.05,4099,38891.75,873,436,8686.949999999999,76700,85386.95
2022-02-27,California,0.95,4549.049999999999,92211.99999999997,1009,631.0499999999993,10100,76700,86800
2022-03-06,California,0.5,3113,43420.5,679,378,9768.5,76700,86468.5
2022-03-06,California,0.05,2942,28764.65,626,313,9061,76700,85761
2022-03-06,California,0.95,3297,69167.59999999999,734,456,10495.05,76700,87195.05
2022-03-13,California,0.5,2297,34140.5,493,273,10045,76700,86745
2022-03-13,California,0.05,2158,22324.8,449,223,9331,76700,86031
2022-03-13,California,0.95,2446,55761.89999999998,539,332,10777.05,76700,87477.05
2022-03-20,California,0.5,1750,28254,365,202,10246,76700,86946
2022-03-20,California,0.05,1633,18196.85,329,163,9528,76700,86228
2022-03-20,California,0.95,1873,46220.69999999994,403,247,10988,76700,87688
