date,county,quantile,hosp_census_with_covid,cases,icu,death,cum_death,prev_cum_est_deaths,total_cum_death,Rt
2021-12-22,California,0.5,3906,85191,893,375,0,76847,77222,NA
2021-12-22,California,0.05,3691,60522.35,827,313.94999999999993,0,76847,77160.95,NA
2021-12-22,California,0.95,4129,125252.69999999998,958,447,0,76847,77294,NA
2021-12-29,California,0.5,5643,164220,1003,407,0,77334,77741,NA
2021-12-29,California,0.05,5351.95,115205.05,930,336,0,77334,77670,NA
2021-12-29,California,0.95,5950,245376.59999999992,1077,490,0,77334,77824,NA
2022-01-05,California,0.5,9431,294894.5,1460,578,0,77838,78416,NA
2022-01-05,California,0.05,8976,203785.9,1364,474,0,77838,78312,NA
2022-01-05,California,0.95,9922.05,457042.7,1564,709,0,77838,78547,NA
2022-01-12,California,0.5,14036,396152,2167,918.5,0,78534,79452.5,NA
2022-01-12,California,0.05,13398.9,276780.69999999995,2033.95,746,0,78534,79280,NA
2022-01-12,California,0.95,14710,604077.0499999999,2311,1146,0,78534,79680,NA
2022-01-19,California,0.5,16694,382878.5,2729,1280,0,79600,80880,NA
2022-01-19,California,0.05,15971.95,269679.3,2573,1038,0,79600,80638,NA
2022-01-19,California,0.95,17475,566761.9999999999,2902,1596,0,79600,81196,NA
2022-01-26,California,0.5,16215,299210.5,2847,1454,0,81140,82594,NA
2022-01-26,California,0.05,15515.95,217179,2684,1191,0,81140,82331,NA
2022-01-26,California,0.95,16956,431669.9499999999,3027,1807,0,81140,82947,NA
2022-02-02,California,0.5,13601.5,205901,2550,1379,0,82928,84307,NA
2022-02-02,California,0.05,13019.95,150548.2,2400,1129,0,82928,84057,NA
2022-02-02,California,0.95,14224,292641.05,2708,1697,0,82928,84625,NA
2022-02-09,California,0.5,10420,139455,2055,1146,0,84861,86007,NA
2022-02-09,California,0.05,9968,103001.95,1932,948,0,84861,85809,NA
2022-02-09,California,0.95,10883,195983.29999999996,2184,1392,0,84861,86253,NA
2022-02-16,California,0.5,7600,95919.5,1549,875,0,86543,87418,NA
2022-02-16,California,0.05,7260,70227.05,1452,727.9499999999999,0,86543,87270.95,NA
2022-02-16,California,0.95,7962,134074.49999999997,1653,1057,0,86543,87600,NA
2022-02-23,California,0.5,5432,68075.5,1124,641,0,87780,88421,NA
2022-02-23,California,0.05,5179,49499.8,1049,533,0,87780,88313,NA
2022-02-23,California,0.95,5704,96717.9,1203,771.0499999999993,0,87780,88551.05,NA
2022-03-02,California,0.5,3889,50903,802,458,0,88709,89167,NA
2022-03-02,California,0.05,3695,36581.45,745,379,0,88709,89088,NA
2022-03-02,California,0.95,4099,72876.14999999998,865,553,0,88709,89262,NA
2022-03-09,California,0.5,2827,39306.5,573,327.5,0,89310,89637.5,NA
2022-03-09,California,0.05,2670,28284.85,526,270,0,89310,89580,NA
2022-03-09,California,0.95,2991,56750.149999999994,622,398,0,89310,89708,NA
2022-03-16,California,0.5,2102,31577,414,238,0,89769,90007,NA
2022-03-16,California,0.05,1973,22173.85,376,193,0,89769,89962,NA
2022-03-16,California,0.95,2234,45482.749999999985,453,293,0,89769,90062,NA
2022-03-23,California,0.5,1617,26993.5,306,177,0,90076,90253,NA
2022-03-23,California,0.05,1509,18926.7,274,141,0,90076,90217,NA
2022-03-23,California,0.95,1728,39408.5,338,218.04999999999927,0,90076,90294.05,NA
2022-03-30,California,0.5,1302,24599.5,233,135,0,90309,90444,NA
2022-03-30,California,0.05,1210,17084.9,206,106,0,90309,90415,NA
2022-03-30,California,0.95,1398,35813.05,261,169,0,90309,90478,NA
2022-04-06,California,0.5,1111,23657.5,187,108,0,90476,90584,NA
2022-04-06,California,0.05,1026,16563.85,163,84,0,90476,90560,NA
2022-04-06,California,0.95,1197,34430.399999999994,212,138,0,90476,90614,NA
2022-04-13,California,0.5,1006,23775.5,159,92,0,90621,90713,NA
2022-04-13,California,0.05,927,16979.8,137,70,0,90621,90691,NA
2022-04-13,California,0.95,1087,34473.2,181,119,0,90621,90740,NA
2022-04-20,California,0.5,980,25922,144,84,0,90724,90808,NA
2022-04-20,California,0.05,904,18676,125,63,0,90724,90787,NA
2022-04-20,California,0.95,1061,37109.1,166,108,0,90724,90832,NA
2022-04-27,California,0.5,1027,29630,143,82,0,90831,90913,NA
2022-04-27,California,0.05,947,21597.95,122,62,0,90831,90893,NA
2022-04-27,California,0.95,1109,41701.34999999999,164,106,0,90831,90937,NA
2022-05-04,California,0.5,1153,35777.5,152,86,0,90919,91005,NA
2022-05-04,California,0.05,1068,26451.949999999997,131,65,0,90919,90984,NA
2022-05-04,California,0.95,1241,49509.54999999999,174,111,0,90919,91030,NA
2022-05-11,California,0.5,1372,44697.5,174,97,0,91002,91099,NA
2022-05-11,California,0.05,1277,33161.95,152,75,0,91002,91077,NA
2022-05-11,California,0.95,1471,62588.09999999999,198,124,0,91002,91126,NA
2022-05-18,California,0.5,1682,55754.5,208,116,0,91092,91208,NA
2022-05-18,California,0.05,1572,41401.75,183,90,0,91092,91182,NA
2022-05-18,California,0.95,1795,78834.2,235,148,0,91092,91240,NA
2022-05-25,California,0.5,2026,65991,249,141,0,91209,91350,NA
2022-05-25,California,0.05,1904,48824.85,221,110,0,91209,91319,NA
