date,county,quantile,hosp_census_with_covid,cases
2021-12-19,Alameda,0.04999999999999999,27,210
2021-12-26,Alameda,0.04999999999999999,27,370.94999999999993
2022-01-02,Alameda,0.04999999999999999,33,797.7499999999997
2022-01-09,Alameda,0.04999999999999999,62,1319.8999999999999
2022-01-16,Alameda,0.04999999999999999,151,3191.6499999999996
2022-01-23,Alameda,0.04999999999999999,259,4551.75
2022-01-30,Alameda,0.04999999999999999,232,2696.95
2022-02-06,Alameda,0.04999999999999999,118.94999999999993,932.8999999999999
2022-02-13,Alameda,0.04999999999999999,51.94999999999993,316
2022-02-20,Alameda,0.04999999999999999,24,122.94999999999993
2022-02-27,Alameda,0.04999999999999999,9,47
2022-03-06,Alameda,0.04999999999999999,3,19
2022-03-13,Alameda,0.04999999999999999,1,7
2022-03-20,Alameda,0.04999999999999999,0,3
2022-03-27,Alameda,0.04999999999999999,0,1
2022-04-03,Alameda,0.04999999999999999,0,0
2022-04-10,Alameda,0.04999999999999999,0,0
2022-04-17,Alameda,0.04999999999999999,0,0
2022-04-24,Alameda,0.04999999999999999,0,0
2022-05-01,Alameda,0.04999999999999999,0,0
2022-05-08,Alameda,0.04999999999999999,0,0
2022-05-15,Alameda,0.04999999999999999,0,0
2022-05-22,Alameda,0.04999999999999999,0,0
2021-12-19,Alameda,0.5,121,1338
2021-12-26,Alameda,0.5,126,2078
2022-01-02,Alameda,0.5,149,5425
2022-01-09,Alameda,0.5,277,18162.5
2022-01-16,Alameda,0.5,675,50341.5
2022-01-23,Alameda,0.5,1082.5,68368
2022-01-30,Alameda,0.5,946,38277
2022-02-06,Alameda,0.5,565.5,13736
2022-02-13,Alameda,0.5,272.5,4703
2022-02-20,Alameda,0.5,121,1831
2022-02-27,Alameda,0.5,54,729
2022-03-06,Alameda,0.5,23,299.5
2022-03-13,Alameda,0.5,10,125
2022-03-20,Alameda,0.5,4,54
2022-03-27,Alameda,0.5,2,23
2022-04-03,Alameda,0.5,1,10
2022-04-10,Alameda,0.5,0,4
2022-04-17,Alameda,0.5,0,2
2022-04-24,Alameda,0.5,0,1
2022-05-01,Alameda,0.5,0,0
2022-05-08,Alameda,0.5,0,0
2022-05-15,Alameda,0.5,0,0
2022-05-22,Alameda,0.5,0,0
2021-12-19,Alameda,0.95,328,4455.199999999997
2021-12-26,Alameda,0.95,343,5944.149999999998
2022-01-02,Alameda,0.95,424,20231.149999999998
2022-01-09,Alameda,0.95,842,78212.15
2022-01-16,Alameda,0.95,2138.0999999999985,214222.05
2022-01-23,Alameda,0.95,3247.0499999999993,284106.54999999993
2022-01-30,Alameda,0.95,2622.0499999999993,177128.34999999992
2022-02-06,Alameda,0.95,1544.0499999999993,72336.84999999998
2022-02-13,Alameda,0.95,742.0499999999993,25365.199999999968
2022-02-20,Alameda,0.95,340,10271.049999999985
2022-02-27,Alameda,0.95,152,4030.349999999995
2022-03-06,Alameda,0.95,68.04999999999927,1656.1499999999978
2022-03-13,Alameda,0.95,31,675
2022-03-20,Alameda,0.95,15,292
2022-03-27,Alameda,0.95,8,130
2022-04-03,Alameda,0.95,4,58
2022-04-10,Alameda,0.95,2,26
2022-04-17,Alameda,0.95,1,12.049999999999272
2022-04-24,Alameda,0.95,1,6
2022-05-01,Alameda,0.95,0,3
2022-05-08,Alameda,0.95,0,2
2022-05-15,Alameda,0.95,0,1
2022-05-22,Alameda,0.95,0,1
2021-12-19,Amador,0.04999999999999999,1,5
2021-12-26,Amador,0.04999999999999999,1,8
2022-01-02,Amador,0.04999999999999999,1,14
2022-01-09,Amador,0.04999999999999999,1,24
2022-01-16,Amador,0.04999999999999999,3,49.94999999999993
2022-01-23,Amador,0.04999999999999999,6,89
2022-01-30,Amador,0.04999999999999999,10,115
2022-02-06,Amador,0.04999999999999999,8,76
2022-02-13,Amador,0.04999999999999999,4,38
2022-02-20,Amador,0.04999999999999999,1,15
2022-02-27,Amador,0.04999999999999999,0,6
2022-03-06,Amador,0.04999999999999999,0,2
2022-03-13,Amador,0.04999999999999999,0,1
2022-03-20,Amador,0.04999999999999999,0,0
2022-03-27,Amador,0.04999999999999999,0,0
2022-04-03,Amador,0.04999999999999999,0,0
2022-04-10,Amador,0.04999999999999999,0,0
2022-04-17,Amador,0.04999999999999999,0,0
2022-04-24,Amador,0.04999999999999999,0,0
2022-05-01,Amador,0.04999999999999999,0,0
2022-05-08,Amador,0.04999999999999999,0,0
2022-05-15,Amador,0.04999999999999999,0,0
2022-05-22,Amador,0.04999999999999999,0,0
2021-12-19,Amador,0.5,4,31
2021-12-26,Amador,0.5,4,39
2022-01-02,Amador,0.5,4,72
2022-01-09,Amador,0.5,5,185
2022-01-16,Amador,0.5,9,481
2022-01-23,Amador,0.5,17,992.5
2022-01-30,Amador,0.5,23,1172.5
2022-02-06,Amador,0.5,20,819
2022-02-13,Amador,0.5,12,383
2022-02-20,Amador,0.5,6,164
2022-02-27,Amador,0.5,3,64
