date,county,quantile,hosp_census_with_covid,cases
2021-12-25,California,0.5,4002,113142
2021-12-25,California,0.05,3880,67996.79999999999
2021-12-25,California,0.95,4125.049999999999,208429.94999999995
2022-01-01,California,0.5,6448,221422.5
2022-01-01,California,0.05,6293.95,128500.5
2022-01-01,California,0.95,6605,443065.1999999994
2022-01-08,California,0.5,10614,390682.5
2022-01-08,California,0.05,10407,218934.95
2022-01-08,California,0.95,10819,803867.4999999997
2022-01-15,California,0.5,14315,504771
2022-01-15,California,0.05,14076,286040.45
2022-01-15,California,0.95,14556,1007946.1999999986
2022-01-22,California,0.5,15390,495048
2022-01-22,California,0.05,15149,289790.1
2022-01-22,California,0.95,15633,948592.1499999998
2022-01-29,California,0.5,13855,403570
2022-01-29,California,0.05,13629,247418.60000000003
2022-01-29,California,0.95,14083,735410.45
2022-02-05,California,0.5,11082,293442.5
2022-02-05,California,0.05,10882.95,183608.15
2022-02-05,California,0.95,11279,524112.9999999997
2022-02-12,California,0.5,8291,208538.5
2022-02-12,California,0.05,8123,133819.2
2022-02-12,California,0.95,8459,356733.3999999999
2022-02-19,California,0.5,6011,149125
2022-02-19,California,0.05,5869,95695.5
2022-02-19,California,0.95,6156,250486.6499999999
2022-02-26,California,0.5,4324,107420
2022-02-26,California,0.05,4203,69421.55
2022-02-26,California,0.95,4442,179663.4
2022-03-05,California,0.5,3132,81205.5
2022-03-05,California,0.05,3031,51951.6
2022-03-05,California,0.95,3238,136614.09999999992
2022-03-12,California,0.5,2315,62972.5
2022-03-12,California,0.05,2229,40125.85
2022-03-12,California,0.95,2402,105447.15
2022-03-19,California,0.5,1768,51317.5
2022-03-19,California,0.05,1693.9499999999998,32357.85
2022-03-19,California,0.95,1845.0499999999993,87122.9
2022-03-26,California,0.5,1401,44293.5
2022-03-26,California,0.05,1335,27944.899999999998
2022-03-26,California,0.95,1470,75278.59999999998
2022-04-02,California,0.5,1160,39961.5
2022-04-02,California,0.05,1097,24786.949999999997
2022-04-02,California,0.95,1223,68253.05
2022-04-09,California,0.5,1011,37551.5
2022-04-09,California,0.05,955,23477.2
2022-04-09,California,0.95,1069,63482.649999999994
2022-04-16,California,0.5,941,37724.5
2022-04-16,California,0.05,886.9499999999999,23973.850000000002
2022-04-16,California,0.95,997,64106.69999999998
2022-04-23,California,0.5,945,40991.5
2022-04-23,California,0.05,889,26354.45
2022-04-23,California,0.95,1000.0499999999993,67574.74999999999
2022-04-30,California,0.5,1019,47246.5
2022-04-30,California,0.05,964,30765.550000000003
2022-04-30,California,0.95,1078,76160.89999999998
2022-05-07,California,0.5,1169,56006
2022-05-07,California,0.05,1108,36518.6
2022-05-07,California,0.95,1234,91625.24999999994
2022-05-14,California,0.5,1400,68575
2022-05-14,California,0.05,1331,45894.700000000004
2022-05-14,California,0.95,1471,112369.44999999992
2022-05-21,California,0.5,1710,85303.5
2022-05-21,California,0.05,1636,56359.4
2022-05-21,California,0.95,1785,136692.69999999995
2022-05-28,California,0.5,2086,103032
2022-05-28,California,0.05,2001,68610.7
2022-05-28,California,0.95,2173,166668.44999999995
2022-06-04,California,0.5,2569,128474
2022-06-04,California,0.05,2461,87104.7
2022-06-04,California,0.95,2679.0499999999993,204921.04999999996
2022-06-11,California,0.5,3199,162228
2022-06-11,California,0.05,3039,112962.9
2022-06-11,California,0.95,3368,256188.94999999978
2022-06-18,California,0.5,3965,204974.5
2022-06-18,California,0.05,3718.95,143912.95
2022-06-18,California,0.95,4244,312453.7499999999
2022-06-25,California,0.5,4755,243179.5
2022-06-25,California,0.05,4401,172738.44999999998
2022-06-25,California,0.95,5189,370193.05
2022-07-02,California,0.5,5397,268065.5
2022-07-02,California,0.05,4960,188828.45
2022-07-02,California,0.95,5991,410303.04999999976
2022-07-09,California,0.5,5778,276497.5
2022-07-09,California,0.05,5303,192317.30000000002
2022-07-09,California,0.95,6480,433527.94999999995
2022-07-16,California,0.5,5870,270905
2022-07-16,California,0.05,5372,183005.94999999998
2022-07-16,California,0.95,6610.049999999999,426383.8
2022-07-23,California,0.5,5717,254940
2022-07-23,California,0.05,5164.950000000001,170134.85
2022-07-23,California,0.95,6415,406373.5999999999
2022-07-30,California,0.5,5393.5,235942.5
2022-07-30,California,0.05,4784,154908.7
2022-07-30,California,0.95,6023,385278.14999999985
2022-08-06,California,0.5,4979,213156
2022-08-06,California,0.05,4355.95,139233.59999999998
2022-08-06,California,0.95,5553,350546.75
2022-08-13,California,0.5,4534.5,192410.5
2022-08-13,California,0.05,3920.95,125294.70000000001
2022-08-13,California,0.95,5046.049999999999,322194.94999999995
2022-08-20,California,0.5,4109.5,174547
2022-08-20,California,0.05,3529,111806.75
2022-08-20,California,0.95,4573,290952.5
2022-08-27,California,0.5,3723,158277.5
2022-08-27,California,0.05,3189,101992.90000000001
2022-08-27,California,0.95,4144,267294.25
2021-12-25,Alameda,0.5,103,3143
2021-12-25,Alameda,0.05,85,540.9499999999999
2021-12-25,Alameda,0.95,124,9810.299999999996
2022-01-01,Alameda,0.5,171,5868.5
2022-01-01,Alameda,0.05,146,974.9499999999999
2022-01-01,Alameda,0.95,198,18291.24999999998
2022-01-08,Alameda,0.5,286,10429
2022-01-08,Alameda,0.05,253,1771.7999999999997
2022-01-08,Alameda,0.95,319,32962.39999999998
2022-01-15,Alameda,0.5,403,14186.5
2022-01-15,Alameda,0.05,364,2365.95
2022-01-15,Alameda,0.95,443,44832.09999999993
2022-01-22,Alameda,0.5,450,14534
2022-01-22,Alameda,0.05,411,2540.7499999999995
2022-01-22,Alameda,0.95,492,46796.14999999998
2022-01-29,Alameda,0.5,420,12476
2022-01-29,Alameda,0.05,382,2182.6999999999994
2022-01-29,Alameda,0.95,459,40204.299999999974
2022-02-05,Alameda,0.5,345,9723.5
2022-02-05,Alameda,0.05,311,1584.85
2022-02-05,Alameda,0.95,381,30978.349999999995
2022-02-12,Alameda,0.5,260,6893.5
2022-02-12,Alameda,0.05,231,1178
2022-02-12,Alameda,0.95,290,22050.899999999987
2022-02-19,Alameda,0.5,189,4970
2022-02-19,Alameda,0.05,165,853.8999999999999
2022-02-19,Alameda,0.95,215,15640.149999999998
2022-02-26,Alameda,0.5,139,3745
2022-02-26,Alameda,0.05,118,595
2022-02-26,Alameda,0.95,161,11884.299999999996
2022-03-05,Alameda,0.5,103,2813.5
