date,county,prop_omicron_cases
2021-12-01,Alameda,0.21137776227765454
2021-12-01,Alpine,0.16865839850299633
2021-12-01,Amador,0.10287978495081035
2021-12-01,Butte,0.23772920287575225
2021-12-01,Calaveras,0.15740396928037295
2021-12-01,Colusa,0.13892543450104872
2021-12-01,Contra Costa,0.15357571813178858
2021-12-01,Del Norte,0.15388154657830921
2021-12-01,El Dorado,0.14593302343482278
2021-12-01,Fresno,0.1202072187879408
2021-12-01,Glenn,0.1525689407303287
2021-12-01,Humboldt,0.14902331501098665
2021-12-01,Imperial,0.13514957049394288
2021-12-01,Inyo,0.19051663695530402
2021-12-01,Kern,0.146294007755019
2021-12-01,Kings,0.11408459053445566
2021-12-01,Lake,0.11376918155505891
2021-12-01,Lassen,0.1885507799044505
2021-12-01,Los Angeles,0.45632250176529404
2021-12-01,Madera,0.11520663984779253
2021-12-01,Marin,0.18227357965134638
2021-12-01,Mariposa,0.11139382608397436
2021-12-01,Mendocino,0.07879427213761155
2021-12-01,Merced,0.13569060106405337
2021-12-01,Mono,0.10230980996698884
2021-12-01,Monterey,0.15632394219110243
2021-12-01,Napa,0.15208345729545814
2021-12-01,Nevada,0.11909095858983441
2021-12-01,Orange,0.203679873171155
2021-12-01,Placer,0.12871211496376211
2021-12-01,Plumas,0.14971481910220472
2021-12-01,Riverside,0.13877082579143882
2021-12-01,Sacramento,0.16101103501330444
2021-12-01,San Benito,0.19803080687061037
2021-12-01,San Bernardino,0.22074057570476535
2021-12-01,San Diego,0.3961854771043767
2021-12-01,San Francisco,0.14771273731591125
2021-12-01,San Joaquin,0.17074700409465463
2021-12-01,San Luis Obispo,0.1802703450753483
2021-12-01,San Mateo,0.25919913357120067
2021-12-01,Santa Barbara,0.1522087531708459
2021-12-01,Santa Clara,0.3938280888670361
2021-12-01,Santa Cruz,0.204215955316949
2021-12-01,Shasta,0.14203098075203177
2021-12-01,Sierra,0.13937120216460602
2021-12-01,Siskiyou,0.19005193380361923
2021-12-01,Solano,0.15717654894614294
2021-12-01,Sonoma,0.17832160807257894
2021-12-01,Stanislaus,0.0991933201219584
2021-12-01,Sutter,0.13888697031781427
2021-12-01,Tehama,0.08795556807368797
2021-12-01,Trinity,0.10098296284898164
2021-12-01,Tulare,0.09404458213933084
2021-12-01,Tuolumne,0.12021158026846596
2021-12-01,Ventura,0.23458200723492628
2021-12-01,Yolo,0.2046231544282445
2021-12-01,Yuba,0.15551663920632217
2021-12-02,Alameda,0.22048378054082873
2021-12-02,Alpine,0.1760606923735206
2021-12-02,Amador,0.10793461461855738
2021-12-02,Butte,0.24759539490707735
2021-12-02,Calaveras,0.1646325357198681
2021-12-02,Colusa,0.14538663715665523
2021-12-02,Contra Costa,0.16069905734951417
2021-12-02,Del Norte,0.16092066030659452
2021-12-02,El Dorado,0.15275173152720484
2021-12-02,Fresno,0.12601329371159034
2021-12-02,Glenn,0.1595938721350312
2021-12-02,Humboldt,0.15596730701511766
2021-12-02,Imperial,0.14155405278087593
2021-12-02,Inyo,0.19884435770970105
2021-12-02,Kern,0.1531385460066803
2021-12-02,Kings,0.11963337982940528
2021-12-02,Lake,0.11928707878320303
2021-12-02,Lassen,0.19676221251290935
